cleaned_text,mapped_label,predicted,confidence
Funny and Intuitive explanations.,Neutral,Positive,0.9368502152498824
"Most of the information in this course is common sense. It may be relevant for someone with very limited knowledge about food, but for anyone who is moderately informed and interested in food, there is not much to learn here.",Negative,Neutral,0.5306279459993356
Good information. I would request more activity based learning instead monotonous one-men presentation.,Positive,Neutral,0.40224759723032594
"It was overall, alright. All of the group assignments killed it for me, though.",Neutral,Positive,0.6027687276331243
I would like to have more participation on the forums,Positive,Neutral,0.5845698938047417
its a fail,Negative,Positive,0.45802069289675285
"Covers a lot of info too fast! Some concepts are not clearly explained , had to surf online to get better understanding. Overall, fine course, very practical.",Neutral,Positive,0.7193979332336177
"The fact that test cases are not available is extremely frustrating and time consuming. I absolutely disagree with the instructors about the reason why test cases are hidden.Michael LevinHi,Learning new complex things is time consuming, it is essential, and it is ok. Without this time spent you wouldn't have learned even half of what you've learned while trying to find your mistakes yourself. Also, the testing techniques presented here are indispensable in the real life, and many learners of the Algorithmic Toolbox course have already confirmed thisHello Mr. Levin,First please forgive me for communicating with you in this place. I am not sure if there is a direct way to answer you, but I believe you will have access to my response.I entirely agree with what you said that this needs time and I do not mind spending time learning new things. That is why I am here in the first place. But I think that hiding the test sets misplaces the balance where this time is being spend.Let me give you an example: week 3 – hash chains - assignment no. 2. I wrote the app, submitted this and it failed on test no. 5. Having generated tons of test cases I was nowhere closer as all looked good, but still failed your engine. As it turned out the problem was not with the algorithm implemented but with the presentation layer. ‘Check x’ command when x is not found in the hash table should return blank line and my program returned nothing. I could not find this in the specification hence lots of hours trying to figure out the solution.It was not a bug with the program, it was the problem how the data is presented. I do not mind spending time developing solutions to the assignments. I would love if there were more advanced (even optional) problems to solve but I want to spend this time on the algorithm and solving the task rather than trying to figure out how to display the data.Please, do not get me wrong, I absolutely adore the course, lectures are brilliant and my opinion should be regarded as a constructive criticism even if you do not agree with me. Thank you again for what you are doing.Regards,Marcin",Positive,Negative,0.5647989776192904
content is not enough for one class. should be only one to two videos.,Neutral,Negative,0.5648399267776975
Primarily focused on US politics and the US policy system. Discusses mostly the problems with the US system of governance and it therefore not really useful for international viewers.,Negative,Positive,0.4468548649811287
make the other ones free,Negative,Positive,0.4713400118577886
"Though the course teaches you IT project management in a crisp way, but I felt that it was a little too fast paced.",Positive,Neutral,0.5246075004940104
Lectures are very confusing. Instructors should use white boarding to explain codes. Difficult to follow them.,Neutral,Negative,0.4682556710557862
"The course could have been marked by 5 stars if it weren't for the promotion of a commercial Python library developed by one of the speakers. There is no way a student could complete the course without having Python installed and a free licence acquired from dato.com.Students should be able to use any programming languages and scientific libraries to do their homework and the subsequent courses of the ""Machine Learning"" specialisation are excellent examples of such approach.",Neutral,Negative,0.5465047027695826
"I wish the courses are more project oriented. This is a very good introduction but, atleast you could provide some optional projects or some tasks.",Negative,Positive,0.6497953003062067
I'm really learning R with this course but it's a pity in the last quiz of week 4 the code asked to type in in the last 3 questions didn't work. However it was easy to work out what the question was trying to ask.,Positive,Neutral,0.3908983455170935
"Interesting course but:1) The transcripts for each week are appalling. Here is a copied and pasted example: ""Separatist groups remained active in almost 90% of decapitation cases where only a third of ideologically ideological organizations such as left wing and right wing organizations. Are damaged by it. And then, in general, in 17% of the cases. So 7% of the cases, decapitation led to the collapse of an organization."" How are those that are hearing impaired meant to understand what the course leader is communicating? It took me so long to understand the transcript that I may as well have listened instead. The subtitles option reads the same as the transcript - not much good for anyone with anything but perfect hearing.2) The estimated timings for each activity are somewhat optimistic. '10 minutes' is the recommended reading time for each week's reading content. Within this reading list are, on average, 8 articles, some of which amount to over 70 pages - if each article is roughly 25-40 pages on average, and there are around 8 articles, how will this reading activity take the student only '10 minutes' to complete?Apart from that, I did really enjoy the course!!",Positive,Neutral,0.4609091718884456
"Really useful, but maybe it could be more entertaining or dynamic.",Positive,Neutral,0.44092578358461704
"The material is very useful because a multidisciplinary approach was adopted in its delivery. Although I was not too comfortable with the references that was severally made to the US economy, but I guess this was influenced by the professors background. However, the last project paid off for this.",Positive,Neutral,0.45603764361434346
"This is my first Coursera course and I wasn't sure what to expect. I was hoping for a good experience but preparing myself for mediocrity.I finished the course at 2am on Monday morning and I've been really impressed, both with the Coursera ""infrastructure"" and with the quality of the teaching from Daniel Egger and his team. I live in South Africa where tertiary educational standards vary widely, and appear to be on the decline. More and more, we are going to need MOOCs like this from the best universities in the world.More specifically, relating to this course, I found the video lectures well presented and the quizzes thoughtfully prepared. The Excel models really helped with grasping the concepts and practice.A couple of suggestions:a) The course FAQ makes light of the background knowledge necessary to cope with the course. It needs to be more honest about the need for mathematics and statistics. Linear regression is not for sissies, in my opinion.b) Please tell us at the START of the course that we should attack the project week by week. This advice isn't (unless I missed something) given until you open the week 6 project. Ahem... it's too late by then! I spent a very frantic 4 nights last week crunching the project work, 4 quizzes and the assignment. I got to bed at 2.30am, and i'm not a night owl.Overwhelmingly though, a really interesting course. I'm already starting the next one.",Positive,Negative,0.4466568160170917
I suspended for a while due to reasons beyond my control; but the simplicity of the course instructors and the explicitness of the course content cannot be over emphasized.I hope to finish it without any more suspensions.,Positive,Negative,0.5677540898768864
"a little too much for my taste, but I learned a lot cellular biology.",Neutral,Positive,0.7224798864145678
"Minimal video efforts, not enough content, and long readings. Definetly not a good course to get a verified certificate",Negative,Neutral,0.5107102606809342
It was good but according to me it had a paucity of arduino programming for which i enrolled . However it was still helpful and i enjoyed it .,Neutral,Positive,0.7870767389724289
"I loved this course. I think it needs more emphasis on the Mastering process, but there's nothing a little investigation can fix. Totally recommended.",Positive,Neutral,0.3994758966193731
"This course is mis-titled. There is very little music involved and a lot of social action. The discussions and videos are interesting, buy I am confused about the use of ""music"" to carry the course's agenda. Perhaps ""The Influence of the Arts on Social Action"" would better define the intent of the course.",Neutral,Positive,0.43842269438680037
Interesting but should be more challenging,Positive,Neutral,0.7038066662038046
Lots of bias on evolutionary theories.,Neutral,Positive,0.6408676101003039
"Nice course! But in my opinion, it needs to give more practice exercises for each sub topic so that student doesnt think the course as fast paced.",Positive,Neutral,0.5065747810973119
This course is way tooooooo easy for me. I'm a PhD candidate in statistics. I think it will be nice if I can have a diagnostic survey to test whether this course is suitable for me or not before the course.,Neutral,Positive,0.522319176859139
Some good points. Spends a lot of time on self-advertisement. Takes a lot of time to get to the point.,Negative,Positive,0.5698335925375851
Fairly poor level of detail - you feel like you end up just learning terms without really getting a proper test on the understanding behind it.,Negative,Neutral,0.4318209206439517
"The content is good but I see some space for improvements in the structure and delivery. I would like to just give positive feedback: 1) the videos and power point slides are broken in too small parts. Each movie/power point starts with the same advertisement and music and it is taking time and attention. Suggestion is to reduce the nr. of videos/presentation to just one or two. 2) for some reason the teacher is looking for my ""rigth side behind my shoulders"" and not ""to my eyes"". I guess there is a small mistake on the camera positioning. It results in loosing the eye contact. 3) There is no ""call to"" go to forum for open discussion. There are no suggestions to topics to be discussed as well. All the forum sessions are empty. The course shall ask comments on the forum like the other courses do. Apart of that small issues, overall the content is quite important and the instructor is good.",Neutral,Negative,0.5076774502840234
The course is perfect. The assignments and grading are not well developed.,Positive,Neutral,0.44510315107765724
"I feel the contents of this course were great, no second thought on it. It makes your concepts crystal clear. But faced lots of issues during practicing the hands on exercises and did not get proper feedback or response on any of the queries.",Neutral,Negative,0.3878044983362205
"The first 3 weeks are really good, 5 stars. Weeks 4 and 5 are way too light. Week 4 has no programming assignment and a short class and 5 has a weak programming assignment and no class.",Neutral,Negative,0.5908834571547301
"I feel the videos could have been more instructive.However, the level of assignments is incredible! I learnt a lot more from programming assignments of this course than videos.",Positive,Neutral,0.554153748664964
Might be an instructive course but the guy who presents it is really creepy. And knowing he was involved in the official 9/11 report makes him hard to believe on any issue.,Negative,Positive,0.42213821983318905
"Although this course is rich in content, it lacks a lot of perspective around The History of Graphic Design, since it only talks from the american point of view.",Positive,Neutral,0.5528353780977043
"There are no lectures on Services, and Content Providers which are two key components of the Android system. It really disappointed me.",Neutral,Negative,0.5172806461472956
"There was a lot to try to remember from one quiz to the next and I have memory problems, but if you're a person with normal memory abilities, I guess that wouldn't be a problem. I really enjoyed learning more about ancient Egypt.",Neutral,Positive,0.6446211154615015
Its a good course for starters. I was looking for more hands on FHIR when i took this course. I would be delighted to join a hands on FHIR course,Neutral,Positive,0.523805865738536
"While course uses a genie method for presentation the content, Quizzes are just made to accomplish one goal: to make sure you have memorized every small detail haven said in the course. Even if someone memorizes the details like specific names and dates, for how long he/she is going to keep it in mind? 2 days? On week?",Negative,Positive,0.40089582803316937
interesting history of neural networks and excellent coverage of all main architectures.couple of problems during the quizzes. An update is needed!,Neutral,Positive,0.7691756229398543
"This course was great, it really helped me to learn the basics of CSS3. However, the week number two was way too difficult in comparison to the three other weeks and sometimes a little bit confusing. I think this part was not very well balanced and they could have divided the level of difficulty more efficiently between the different weeks : this is why I removed a star in my final notation. Everything else was fantastic !",Positive,Neutral,0.48508505526950757
"This course is good, but maybe it is a little bit to easy and only cover a small part of knowledge. However, I think it's okay for a introduction course. I hope there will be course dig into more deeply and wilder knowledge",Positive,Neutral,0.4636677200675888
